图片ID,种族,职业,提示词
2058,狐族,医师,"fox girl, kemonomimi, silver fox ears, silver fox tail, silver hair, short hair, disheveled hair, long bangs, jeweled hairpin, red eyes, athletic build, (medium breasts:1.2), medical white color scheme, alluring healer robes, revealing medical sash, herb pouch, healing crystals, bandages, medicine bottles, treatment tools, white gloves, medical choker, healing accessories, provocative therapeutic ornaments, healing crystal pendant, caring, examining, herbalist hut, soft light, peaceful, medical white color scheme, eyeball, medium_shot, cinematic_angle, elegant composition,"
2059,狐族,吟游诗人,"fox girl, kemonomimi, (silver hair:1.2), silver to white gradient fox ears, (silver hair:1.2), silver to white gradient fox tail, (silver hair:1.2), silver to white gradient hair, short hair, straight hair, swept bangs, tiara, brown eyes, athletic build, (medium breasts:1.2), colorful scheme, provocative performer dress, flowing ribbons, hand drums, tambourine, dance veils, jingling anklets, performance makeup, stage jewelry, colorful sashes, entertainment props, alluring showman accessories, feather fans, smiling, standing, marketplace, sunlight, peaceful, colorful scheme, eyeball, full_shot, cinematic_angle, elegant composition,"
2060,狐族,巫女,"fox girl, kemonomimi, (silver hair:1.2), silver to white gradient fox ears, (silver hair:1.2), silver to white gradient fox tail, (silver hair:1.2), silver to white gradient hair, short hair, forehead, swept bangs, ahoge, pink eyes, athletic build, (medium breasts:1.2), shrine red-white scheme, alluring nine-tail shrine attire, revealing white kimono, fox spirit symbols, sacred gohei wand, mystical orbs, sacred fox tail ornaments, spiritual jewelry, shrine accessories, purification tools, fox deity emblems, seductive miko ornaments, ceremonial bells, divine kitsune mask, sacred ribbons, spirit flames, traditional charms, blessing scrolls, shrine maiden crown, ritual sake set, spiritual energy wisps, serene, ritual dance, shrine, moonlight, magical, shrine red-white scheme, looking_ahead, medium_shot, from_above, rule of thirds,"
2061,狐族,姬武士,"fox girl, kemonomimi, silver fox ears, silver fox tail, silver hair, short hair, curly hair, air bangs, feather accent, brown eyes, athletic build, (medium breasts:1.2), steel-red color scheme, ronin warrior outfit, masterless samurai attire, wandering blade, journey-worn katana, vagabond warrior gear, nomadic combat accessories, travel-stained armor, lone warrior jewelry, wanderer battle ornaments, dishonored badges, exile scrolls, freedom seeker implements, serious, combat stance, samurai estate, dawn light, epic, steel-red color scheme, looking_back, cowboy_shot, front view, elegant composition,"
2062,狐族,领主,"fox girl, kemonomimi, silver fox ears, silver fox tail, silver hair, short hair, hime cut, blunt bangs, ribbon, red eyes, athletic build, (medium breasts:1.2), gold-crimson color scheme, military lord outfit, general commander robes, war strategy scepter, battlefield maps, army command accessories, tactical leadership jewelry, military clan symbols, warfare authority ornaments, campaign documents, strategic war fan, victory general badges, army leader implements, commanding, sitting regally, throne room, sunlight, regal, gold-crimson color scheme, head_down, wide_shot, from_side, symmetric composition,"
2063,狐族,海贼,"fox girl, kemonomimi, silver fox ears, silver fox tail, silver hair, short hair, hime cut, long bangs, tiara, blue eyes, athletic build, (medium breasts:1.2), sea raider scheme, revealing pirate outfit, torn clothing, cutlass, crossbow, treasure map, rum bottle, eye patch, bandana, rope accessories, sea jewelry, alluring raider ornaments, compass, wild, standing, ocean, sunlight, wild, sea raider scheme, looking_back, upper_body, foreshortening, rule of thirds,"
2064,狐族,船长,"fox girl, kemonomimi, (silver hair:1.2), silver to white gradient fox ears, (silver hair:1.2), silver to white gradient fox tail, (silver hair:1.2), silver to white gradient hair, short hair, hime cut, crossed bangs, braid detail, red eyes, athletic build, (medium breasts:1.2), navy-blue color scheme, explorer captain attire, discovery vessel robes, uncharted maps, exploration compass, voyage journal, new world documents, pioneer symbols, frontier navigation tools, discovery jewelry, exploration accessories, adventurer captain ornaments, world mapper implements, experienced, standing, ship deck, sea breeze light, adventurous, navy-blue color scheme, gradient, medium_shot, cinematic_angle, symmetric composition,"
2065,狐族,歌妓,"fox girl, kemonomimi, (silver hair:1.2), silver to white gradient fox ears, (silver hair:1.2), silver to white gradient fox tail, (silver hair:1.2), silver to white gradient hair, short hair, forehead, blunt bangs, jeweled hairpin, red eyes, athletic build, (medium breasts:1.2), entertainment gold-red scheme, alluring oiran outfit, revealing luxurious kimono, multiple hair ornaments, elegant fan, performance tools, expensive jewelry, courtesan accessories, artistic makeup, entertainment implements, beauty symbols, seductive high-class ornaments, pipe accessory, seductive, playing music, entertainment quarter, soft light, sensual, entertainment gold-red scheme, head_down, full_shot, foreshortening, turn_one's_back,"
2066,狐族,医师,"fox girl, kemonomimi, (silver hair:1.2), silver to white gradient fox ears, (silver hair:1.2), silver to white gradient fox tail, (silver hair:1.2), silver to white gradient hair, short hair, forehead, air bangs, feather accent, rainbow eyes, curvy build, huge breasts, medical white color scheme, alluring healer robes, revealing medical sash, herb pouch, healing crystals, bandages, medicine bottles, treatment tools, white gloves, medical choker, healing accessories, provocative therapeutic ornaments, healing crystal pendant, caring, healing pose, herb garden, sunlight, peaceful, medical white color scheme, looking_afar, wide_shot, from_side, elegant composition,"
2067,狐族,吟游诗人,"fox girl, kemonomimi, silver fox ears, silver fox tail, silver hair, short hair, disheveled hair, long bangs, ahoge, green eyes, curvy build, huge breasts, vibrant multi-color scheme, provocative performer dress, flowing ribbons, hand drums, tambourine, dance veils, jingling anklets, performance makeup, stage jewelry, colorful sashes, entertainment props, alluring showman accessories, feather fans, smiling, standing, tavern, stage light, lively, vibrant multi-color scheme, head_down, profile, from_side, aerial,"
2068,狐族,巫女,"fox girl, kemonomimi, (silver hair:1.2), silver to white gradient fox ears, (silver hair:1.2), silver to white gradient fox tail, (silver hair:1.2), silver to white gradient hair, short hair, messy hair, long bangs, ribbon, red eyes, curvy build, huge breasts, silver-blue color scheme, battle shrine maiden outfit, armored miko attire, combat gohei staff, protective talismans, warrior purification tools, battle shrine accessories, combat spiritual jewelry, fighting miko ornaments, war blessing implements, defense prayer scrolls, battle meditation beads, combat shrine maiden gear, serene, praying, moonlit grove, moonlight, mystical, silver-blue color scheme, head_down, wide_shot, foreshortening, symmetric composition,"
2069,狐族,姬武士,"fox girl, kemonomimi, silver fox ears, silver fox tail, silver hair, short hair, wavy hair, swept bangs, ahoge, purple eyes, curvy build, huge breasts, steel-red color scheme, alluring noble warrior attire, revealing ceremonial armor, dual swords, family heirloom weapons, clan symbols, honor badges, silk undergarments, traditional war paint, warrior jewelry, battle ornaments, seductive samurai accessories, sake cup, war fan, family banner, armor silk cords, combat hakama, traditional leg guards, honor sash, warrior temple charm, sword oil kit, serious, combat stance, dojo, sunlight, honorable, steel-red color scheme, gradient, medium_shot, front view, aerial,"
2070,狐族,领主,"fox girl, kemonomimi, (silver hair:1.2), silver to white gradient fox ears, (silver hair:1.2), silver to white gradient fox tail, (silver hair:1.2), silver to white gradient hair, short hair, hime cut, centre parting bangs, ahoge, golden eyes, curvy build, huge breasts, gold-crimson color scheme, alluring ruler attire, revealing ceremonial robes, power symbols, command sword, territory documents, noble jewelry, clan ornaments, authority accessories, ruling implements, leadership symbols, seductive sovereign ornaments, war council fan, commanding, commanding pose, castle, noble lighting, regal, gold-crimson color scheme, head_tilt, panorama, from_side, aerial,"
2071,狐族,海贼,"fox girl, kemonomimi, (silver hair:1.2), silver to white gradient fox ears, (silver hair:1.2), silver to white gradient fox tail, (silver hair:1.2), silver to white gradient hair, short hair, messy hair, crossed bangs, braid detail, brown eyes, curvy build, huge breasts, pirate scheme, alluring fox pirate outfit, revealing naval attire, eastern weapons, stolen treasures, sea navigation tools, pirate fox jewelry, maritime accessories, raider symbols, ocean charms, plunder ornaments, seductive corsair accessories, sake flask, wild, combat stance, ocean, sea light, adventurous, pirate scheme, looking_at_viewer, upper_body, front view, aerial,"
2072,狐族,船长,"fox girl, kemonomimi, silver fox ears, silver fox tail, silver hair, short hair, wavy hair, air bangs, feather accent, blue eyes, curvy build, huge breasts, captain scheme, seductive naval commander attire, exposing officer robes, command symbols, navigation instruments, ship documents, authority badges, maritime accessories, captain's jewelry, naval ornaments, leadership tools, provocative maritime accessories, weather crystal, confident, commanding pose, port, sunlight, adventurous, captain scheme, looking_outside, cowboy_shot, from_above, symmetric composition,"
2073,狐族,歌妓,"fox girl, kemonomimi, silver fox ears, silver fox tail, silver hair, short hair, wavy hair, blunt bangs, silk bow, rainbow eyes, curvy build, huge breasts, elegant crimson scheme, revealing courtesan kimono, elegant fabrics, musical instruments, performance fan, entertainment accessories, beautiful jewelry, artistic ornaments, performance makeup, silk ribbons, entertainment tools, alluring entertainer ornaments, sake cup, elegant, playing music, teahouse, soft light, artistic, elegant crimson scheme, head_tilt, profile, from_below, rule of thirds,"
2074,狐族,医师,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, wavy hair, centre parting bangs, ahoge, red eyes, petite build, small breasts, green-white color scheme, revealing herbalist outfit, botanical patterns, plant guide, herb scissors, collection basket, dried herbs, essence vials, nature jewelry, green ribbons, healing charm, alluring natural healer ornaments, flower crown, focused, standing, healing house, sunlight, warm, green-white color scheme, looking_back, upper_body, dutch angle, symmetric composition,"
2075,狐族,吟游诗人,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, messy hair, swept bangs, tiara, brown eyes, petite build, small breasts, rainbow color scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, artistic, standing, village square, stage light, peaceful, rainbow color scheme, head_tilt, full_shot, from_below, aerial,"
2076,狐族,巫女,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, straight hair, asymmetric bangs, streaked hair, heart-shaped eyes, petite build, small breasts, shrine red-white scheme, seductive miko attire, slit ceremonial kimono, sacred talismans, purification tools, shrine ornaments, traditional jewelry, provocative spiritual accessories, silk obi belt, traditional hair ornaments, prayer beads necklace, sacred water vessel, purification brush, shrine bell chime, divine protection amulet, ceremonial sake cup, spiritual purification smoke, traditional makeup, shrine maiden gloves, divine blessing seal, ritual implements, calm, ritual dance, silver forest, starlight, mystical, shrine red-white scheme, head_down, upper_body, from_below, rule of thirds,"
2077,狐族,姬武士,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, bob cut, swept bangs, streaked hair, purple eyes, petite build, small breasts, warrior honor scheme, seductive swordswoman attire, slit battle kimono, traditional weapons, warrior accessories, provocative martial ornaments, reinforced leather armor, silk battle sash, traditional hair pins, warrior's arm guards, battle-worn gloves, traditional footwear, combat utility belt, warrior's honor medallion, family sword tassel, dueling stance, martial arts mastery, warrior's pride, combat experience aura, training ribbons, victory tokens, honorable, combat stance, cherry blossom field, dawn light, honorable, warrior honor scheme, looking_outside, profile, dynamic_angle, turn_one's_back,"
2078,狐族,领主,"fox girl, kemonomimi, (black hair:1.2), black to dark purple gradient fox ears, (black hair:1.2), black to dark purple gradient fox tail, (black hair:1.2), black to dark purple gradient hair, short hair, bob cut, asymmetric bangs, silk bow, brown eyes, petite build, small breasts, noble scheme, revealing lord's attire, noble kimono, family crest ornaments, ceremonial sword, authority symbols, jade accessories, silk sash, lord's fan, signet ring, territory map, alluring ruler ornaments, command baton, noble, commanding pose, castle, noble lighting, regal, noble scheme, head_tilt, upper_body, from_below, turn_one's_back,"
2079,狐族,海贼,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, forehead, long bangs, ahoge, rainbow eyes, petite build, small breasts, pirate scheme, pirate queen attire, captain's royal outfit, commanding cutlass, treasure hoard, pirate fleet symbols, maritime crown, ocean ruler jewelry, sea conquest ornaments, plunder queen accessories, naval dominance badges, corsair royalty gems, sea empire implements, wild, standing, tavern, sea light, adventurous, pirate scheme, head_tilt, upper_body, dynamic_angle, rule of thirds,"
2080,狐族,船长,"fox girl, kemonomimi, (black hair:1.2), black to dark purple gradient fox ears, (black hair:1.2), black to dark purple gradient fox tail, (black hair:1.2), black to dark purple gradient hair, short hair, curly hair, centre parting bangs, streaked hair, green eyes, petite build, small breasts, maritime gold scheme, seductive naval commander attire, exposing officer robes, command symbols, navigation instruments, ship documents, authority badges, maritime accessories, captain's jewelry, naval ornaments, leadership tools, provocative maritime accessories, weather crystal, confident, standing, port, sea breeze light, authoritative, maritime gold scheme, gradient, portrait, front view, rule of thirds,"
2081,狐族,歌妓,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, hair between eyes, crossed bangs, silk bow, red eyes, petite build, small breasts, entertainment gold-red scheme, alluring oiran outfit, revealing luxurious kimono, multiple hair ornaments, elegant fan, performance tools, expensive jewelry, courtesan accessories, artistic makeup, entertainment implements, beauty symbols, seductive high-class ornaments, pipe accessory, elegant, playing music, teahouse, soft light, artistic, entertainment gold-red scheme, eye-contact, profile, dynamic_angle, elegant composition,"
2082,狐族,医师,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, hair between eyes, centre parting bangs, feather accent, brown eyes, athletic build, (medium breasts:1.2), healing green scheme, seductive apothecary dress, cropped linen apron, herb satchel, healing potions, medical instruments, leather gloves, healing amulet, treatment kit, medicinal accessories, alluring care ornaments, mortar and pestle, focused, standing, herbalist hut, sunlight, warm, healing green scheme, eye-contact, full_shot, from_below, elegant composition,"
2083,狐族,吟游诗人,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, curly hair, long bangs, feather accent, heart-shaped eyes, athletic build, (medium breasts:1.2), rainbow color scheme, alluring artist attire, cropped paint-stained apron, creative tools, parchment scroll, color palette, brushes, artistic beret, leather bag, inspiration choker, creative accessories, seductive bohemian ornaments, ink bottles, cheerful, dancing, village square, sunlight, peaceful, rainbow color scheme, eye-contact, portrait, dutch angle, elegant composition,"
2084,狐族,巫女,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, hair between eyes, long bangs, delicate hair ornament, green eyes, athletic build, (medium breasts:1.2), silver-blue color scheme, battle shrine maiden outfit, armored miko attire, combat gohei staff, protective talismans, warrior purification tools, battle shrine accessories, combat spiritual jewelry, fighting miko ornaments, war blessing implements, defense prayer scrolls, battle meditation beads, combat shrine maiden gear, calm, ritual dance, moonlit grove, moonlight, peaceful, silver-blue color scheme, looking_away, profile, cinematic_angle, aerial,"
2085,狐族,姬武士,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, disheveled hair, air bangs, braid detail, pink eyes, athletic build, (medium breasts:1.2), steel-red color scheme, seductive swordswoman attire, slit battle kimono, traditional weapons, warrior accessories, provocative martial ornaments, reinforced leather armor, silk battle sash, traditional hair pins, warrior's arm guards, battle-worn gloves, traditional footwear, combat utility belt, warrior's honor medallion, family sword tassel, dueling stance, martial arts mastery, warrior's pride, combat experience aura, training ribbons, victory tokens, serious, combat stance, cherry blossom field, sunlight, honorable, steel-red color scheme, head_tilt, portrait, from_below, aerial,"
2086,狐族,领主,"fox girl, kemonomimi, (black hair:1.2), black to dark purple gradient fox ears, (black hair:1.2), black to dark purple gradient fox tail, (black hair:1.2), black to dark purple gradient hair, short hair, messy hair, air bangs, tiara, heart-shaped eyes, athletic build, (medium breasts:1.2), noble scheme, seductive daimyo outfit, exposing noble robes, clan symbols, ruling scepter, territorial seal, power jewelry, formal kimono, authority badge, command accessories, noble ornaments, provocative leader accessories, sake set, commanding, commanding pose, castle, sunlight, regal, noble scheme, facing_away, upper_body, foreshortening, turn_one's_back,"
2087,狐族,海贼,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, messy hair, centre parting bangs, flower accessory, blue eyes, athletic build, (medium breasts:1.2), pirate scheme, seductive sea raider attire, exposing pirate gear, dual weapons, plundered jewelry, sea charts, navigation tools, pirate accessories, skull symbols, ocean ornaments, raider trophies, provocative buccaneer accessories, telescope, confident, swaggering, tavern, sunlight, wild, pirate scheme, eyeball, portrait, from_below, aerial,"
2088,狐族,船长,"fox girl, kemonomimi, (black hair:1.2), black to dark purple gradient fox ears, (black hair:1.2), black to dark purple gradient fox tail, (black hair:1.2), black to dark purple gradient hair, short hair, messy hair, asymmetric bangs, jeweled hairpin, golden eyes, athletic build, (medium breasts:1.2), navy-blue color scheme, revealing captain robes, naval coat, command hat, ceremonial sword, navigation tools, ship wheel accessory, compass, maps, captain's badge, maritime jewelry, alluring nautical ornaments, telescope, confident, navigating, port, sea breeze light, adventurous, navy-blue color scheme, sideways_glance, portrait, cinematic_angle, turn_one's_back,"
2089,狐族,歌妓,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, disheveled hair, blunt bangs, streaked hair, golden eyes, athletic build, (medium breasts:1.2), elegant crimson scheme, koto musician outfit, elegant musician kimono, traditional koto instrument, music sheets, performance jewelry, artistic accessories, musician ornaments, melodic tools, concert makeup, harmony symbols, seductive artist ornaments, tuning implements, seductive, dancing, entertainment quarter, soft light, sensual, elegant crimson scheme, looking_afar, cowboy_shot, dutch angle, symmetric composition,"
2090,狐族,医师,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, hair between eyes, air bangs, jeweled hairpin, blue eyes, curvy build, huge breasts, healing green scheme, alluring healer robes, revealing medical sash, herb pouch, healing crystals, bandages, medicine bottles, treatment tools, white gloves, medical choker, healing accessories, provocative therapeutic ornaments, healing crystal pendant, focused, examining, sacred garden, soft light, peaceful, healing green scheme, sideways_glance, medium_shot, from_below, aerial,"
2091,狐族,吟游诗人,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, hime cut, centre parting bangs, feather accent, heart-shaped eyes, curvy build, huge breasts, vibrant multi-color scheme, provocative performer dress, flowing ribbons, hand drums, tambourine, dance veils, jingling anklets, performance makeup, stage jewelry, colorful sashes, entertainment props, alluring showman accessories, feather fans, artistic, standing, village square, stage light, peaceful, vibrant multi-color scheme, looking_back, upper_body, from_above, rule of thirds,"
2092,狐族,巫女,"fox girl, kemonomimi, (black hair:1.2), black to dark purple gradient fox ears, (black hair:1.2), black to dark purple gradient fox tail, (black hair:1.2), black to dark purple gradient hair, short hair, bob cut, blunt bangs, flower accessory, blue eyes, curvy build, huge breasts, white-gold color scheme, alluring nine-tail shrine attire, revealing white kimono, fox spirit symbols, sacred gohei wand, mystical orbs, sacred fox tail ornaments, spiritual jewelry, shrine accessories, purification tools, fox deity emblems, seductive miko ornaments, ceremonial bells, divine kitsune mask, sacred ribbons, spirit flames, traditional charms, blessing scrolls, shrine maiden crown, ritual sake set, spiritual energy wisps, calm, casting, shrine grounds, moonlight, mystical, white-gold color scheme, looking_down, profile, front view, aerial,"
2093,狐族,姬武士,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, wavy hair, crossed bangs, ribbon, green eyes, curvy build, huge breasts, warrior honor scheme, ronin warrior outfit, masterless samurai attire, wandering blade, journey-worn katana, vagabond warrior gear, nomadic combat accessories, travel-stained armor, lone warrior jewelry, wanderer battle ornaments, dishonored badges, exile scrolls, freedom seeker implements, cold, standing, dojo, dawn light, epic, warrior honor scheme, eyeball, cowboy_shot, dutch angle, aerial,"
2094,狐族,领主,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, bob cut, air bangs, ahoge, blue eyes, curvy build, huge breasts, noble scheme, merchant lord attire, trade magnate robes, commerce scepter, business empire documents, wealth accumulation accessories, prosperity jewelry, trading clan symbols, economic authority ornaments, trade route maps, merchant guild fan, fortune maker badges, business leader implements, commanding, standing, castle, noble lighting, regal, noble scheme, facing_away, full_shot, from_above, symmetric composition,"
2095,狐族,海贼,"fox girl, kemonomimi, (black hair:1.2), black to dark purple gradient fox ears, (black hair:1.2), black to dark purple gradient fox tail, (black hair:1.2), black to dark purple gradient hair, short hair, wavy hair, crossed bangs, tiara, red eyes, curvy build, huge breasts, sea raider scheme, seductive sea raider attire, exposing pirate gear, dual weapons, plundered jewelry, sea charts, navigation tools, pirate accessories, skull symbols, ocean ornaments, raider trophies, provocative buccaneer accessories, telescope, wild, standing, ship deck, sea light, wild, sea raider scheme, looking_back, upper_body, from_side, symmetric composition,"
2096,狐族,船长,"fox girl, kemonomimi, (black hair:1.2), black to dark purple gradient fox ears, (black hair:1.2), black to dark purple gradient fox tail, (black hair:1.2), black to dark purple gradient hair, short hair, disheveled hair, blunt bangs, ahoge, green eyes, curvy build, huge breasts, navy-blue color scheme, smuggler captain attire, contraband vessel robes, hidden route maps, discrete compass, secret cargo logs, illegal trade documents, underground symbols, covert navigation tools, black market jewelry, smuggling accessories, contraband captain ornaments, illicit trade implements, commanding, commanding pose, port, sea breeze light, adventurous, navy-blue color scheme, looking_away, full_shot, foreshortening, aerial,"
2097,狐族,歌妓,"fox girl, kemonomimi, black fox ears, black fox tail, black hair, short hair, disheveled hair, blunt bangs, feather accent, blue eyes, curvy build, huge breasts, elegant crimson scheme, revealing courtesan kimono, elegant fabrics, musical instruments, performance fan, entertainment accessories, beautiful jewelry, artistic ornaments, performance makeup, silk ribbons, entertainment tools, alluring entertainer ornaments, sake cup, seductive, performing pose, playhouse, soft light, elegant, elegant crimson scheme, looking_outside, portrait, front view, symmetric composition,"
2098,狐族,医师,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, bob cut, crossed bangs, streaked hair, blue eyes, petite build, small breasts, green-white color scheme, seductive apothecary dress, cropped linen apron, herb satchel, healing potions, medical instruments, leather gloves, healing amulet, treatment kit, medicinal accessories, alluring care ornaments, mortar and pestle, gentle, examining, sacred garden, sunlight, peaceful, green-white color scheme, looking_outside, portrait, foreshortening, elegant composition,"
2099,狐族,吟游诗人,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, hime cut, swept bangs, ribbon, pink eyes, petite build, small breasts, vibrant multi-color scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, artistic, performing pose, playhouse, sunlight, peaceful, vibrant multi-color scheme, head_down, medium_shot, dutch angle, elegant composition,"
2100,狐族,巫女,"fox girl, kemonomimi, (purple hair:1.2), purple to blonde gradient fox ears, (purple hair:1.2), purple to blonde gradient fox tail, (purple hair:1.2), purple to blonde gradient hair, short hair, hair between eyes, long bangs, streaked hair, blue eyes, petite build, small breasts, silver-blue color scheme, alluring nine-tail shrine attire, revealing white kimono, fox spirit symbols, sacred gohei wand, mystical orbs, sacred fox tail ornaments, spiritual jewelry, shrine accessories, purification tools, fox deity emblems, seductive miko ornaments, ceremonial bells, divine kitsune mask, sacred ribbons, spirit flames, traditional charms, blessing scrolls, shrine maiden crown, ritual sake set, spiritual energy wisps, calm, meditating, silver forest, moonlight, mystical, silver-blue color scheme, looking_down, cowboy_shot, cinematic_angle, rule of thirds,"
2101,狐族,姬武士,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, messy hair, crossed bangs, delicate hair ornament, rainbow eyes, petite build, small breasts, warrior honor scheme, ronin warrior outfit, masterless samurai attire, wandering blade, journey-worn katana, vagabond warrior gear, nomadic combat accessories, travel-stained armor, lone warrior jewelry, wanderer battle ornaments, dishonored badges, exile scrolls, freedom seeker implements, honorable, drawing sword, castle, sunlight, epic, warrior honor scheme, head_down, panorama, cinematic_angle, rule of thirds,"
2102,狐族,领主,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, forehead, asymmetric bangs, streaked hair, purple eyes, petite build, small breasts, feudal lord scheme, revealing lord's attire, noble kimono, family crest ornaments, ceremonial sword, authority symbols, jade accessories, silk sash, lord's fan, signet ring, territory map, alluring ruler ornaments, command baton, confident, commanding pose, throne room, sunlight, regal, feudal lord scheme, gradient, full_shot, from_below, aerial,"
2103,狐族,海贼,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, disheveled hair, asymmetric bangs, delicate hair ornament, golden eyes, petite build, small breasts, pirate scheme, pirate queen attire, captain's royal outfit, commanding cutlass, treasure hoard, pirate fleet symbols, maritime crown, ocean ruler jewelry, sea conquest ornaments, plunder queen accessories, naval dominance badges, corsair royalty gems, sea empire implements, wild, combat stance, beach, sea light, wild, pirate scheme, looking_afar, portrait, from_side, elegant composition,"
2104,狐族,船长,"fox girl, kemonomimi, (purple hair:1.2), purple to blonde gradient fox ears, (purple hair:1.2), purple to blonde gradient fox tail, (purple hair:1.2), purple to blonde gradient hair, short hair, hime cut, asymmetric bangs, jeweled hairpin, heart-shaped eyes, petite build, small breasts, navy-blue color scheme, smuggler captain attire, contraband vessel robes, hidden route maps, discrete compass, secret cargo logs, illegal trade documents, underground symbols, covert navigation tools, black market jewelry, smuggling accessories, contraband captain ornaments, illicit trade implements, experienced, commanding pose, port, sea breeze light, authoritative, navy-blue color scheme, gradient, profile, from_side, rule of thirds,"
2105,狐族,歌妓,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, bob cut, air bangs, tiara, pink eyes, petite build, small breasts, entertainment gold-red scheme, alluring oiran outfit, revealing luxurious kimono, multiple hair ornaments, elegant fan, performance tools, expensive jewelry, courtesan accessories, artistic makeup, entertainment implements, beauty symbols, seductive high-class ornaments, pipe accessory, seductive, playing music, entertainment quarter, lantern light, elegant, entertainment gold-red scheme, eye-contact, medium_shot, dynamic_angle, turn_one's_back,"
2106,狐族,医师,"fox girl, kemonomimi, (purple hair:1.2), purple to blonde gradient fox ears, (purple hair:1.2), purple to blonde gradient fox tail, (purple hair:1.2), purple to blonde gradient hair, short hair, straight hair, asymmetric bangs, tiara, golden eyes, athletic build, (medium breasts:1.2), green-white color scheme, seductive apothecary dress, cropped linen apron, herb satchel, healing potions, medical instruments, leather gloves, healing amulet, treatment kit, medicinal accessories, alluring care ornaments, mortar and pestle, caring, standing, herbalist hut, sunlight, peaceful, green-white color scheme, looking_to_the_side, panorama, foreshortening, symmetric composition,"
2107,狐族,吟游诗人,"fox girl, kemonomimi, (purple hair:1.2), purple to blonde gradient fox ears, (purple hair:1.2), purple to blonde gradient fox tail, (purple hair:1.2), purple to blonde gradient hair, short hair, hime cut, crossed bangs, tiara, golden eyes, athletic build, (medium breasts:1.2), vibrant multi-color scheme, seductive bard outfit, revealing colorful cloak, musical instrument, feathered hat, slit performance costume, song sheets, lute strings, artistic accessories, performance jewelry, alluring entertainer ornaments, decorative bells, silk scarves, artistic, performing pose, tavern, stage light, lively, vibrant multi-color scheme, eyeball, profile, from_below, symmetric composition,"
2108,狐族,巫女,"fox girl, kemonomimi, (purple hair:1.2), purple to blonde gradient fox ears, (purple hair:1.2), purple to blonde gradient fox tail, (purple hair:1.2), purple to blonde gradient hair, short hair, curly hair, swept bangs, braid detail, heart-shaped eyes, athletic build, (medium breasts:1.2), silver-blue color scheme, seductive miko attire, slit ceremonial kimono, sacred talismans, purification tools, shrine ornaments, traditional jewelry, provocative spiritual accessories, silk obi belt, traditional hair ornaments, prayer beads necklace, sacred water vessel, purification brush, shrine bell chime, divine protection amulet, ceremonial sake cup, spiritual purification smoke, traditional makeup, shrine maiden gloves, divine blessing seal, ritual implements, mysterious, meditating, lunar temple, magical light, peaceful, silver-blue color scheme, looking_back, full_shot, dynamic_angle, aerial,"
2109,狐族,姬武士,"fox girl, kemonomimi, purple fox ears, purple fox tail, purple hair, short hair, wavy hair, blunt bangs, ribbon, golden eyes, athletic build, (medium breasts:1.2), warrior honor scheme, kyudo warrior outfit, archery samurai attire, ceremonial bow, precision arrows, marksman gear, ranged combat accessories, shooting stance armor, archer warrior jewelry, distance battle ornaments, accuracy honor badges, bowmanship scrolls, archery master implements, honorable, standing, castle, dawn light, honorable, warrior honor scheme, sideways_glance, wide_shot, front view, symmetric composition,"
